sku,product_name,price,category_name,url
GEN-F8B7F88C,Nascloud A1 Cloud Storage Adaptor,11640.0,Storage Devices,https://lifestore.lk/product/nascloud-a1-cloud-storage-adaptor
GEN-B6DFE3B3,Aj Power Guard 6A,4735.0,Power Guards,https://lifestore.lk/product/aj-power-guard-6a
GEN-3A79DBF0,Aj Power Guard 10A,4735.0,Power Guards,https://lifestore.lk/product/aj-power-guard-10a
GEN-B08BC4CF,4Glte External Antenna,5500.0,"4G, 3G Routers",https://lifestore.lk/product/4glte-external-antenna
GEN-AD2EEDA4,Prolink Dl 7306 Cat4 4G Router,18640.0,"4G, 3G Routers",https://lifestore.lk/product/prolink-dl-7306-cat4-4g-router
GEN-222E27DB,Comstox Zlt T10 Max 4G Lte Router,9900.0,"4G, 3G Routers",https://lifestore.lk/product/comstox-zlt-t10-max-4g-lte-router
GEN-FF5DD446,Prolink Dl 7202 Mobile Wi Fi Router,14300.0,"4G, 3G Routers",https://lifestore.lk/product/prolink-dl-7202-mobile-wi-fi-router
GEN-5EBA41C6,Prolink Dl 7203E Mobile Mi Fi Router,19890.0,"4G, 3G Routers",https://lifestore.lk/product/prolink-dl-7203e-mobile-mi-fi-router
GEN-A9AD63E4,Siyol Pocket Mi Fi Router,8990.0,"4G, 3G Routers",https://lifestore.lk/product/siyol-pocket-mi-fi-router
GEN-6E932032,Emark Hamilton Standard Bicycle,29900.0,Bicycles,https://lifestore.lk/product/emark-hamilton-standard-bicycle
GEN-6ADF4611,Emark Mountain Bicycle,37495.0,Bicycles,https://lifestore.lk/product/emark-mountain-bicycle
GEN-0BFC8F09,Prolink Ds 3106 3Mp Home Security Ip Camera,7450.0,Security Cameras,https://lifestore.lk/product/prolink-ds-3106-3mp-home-security-ip-camera
GEN-135246F2,Prolink Ds 3103 Dual Band Outdoor Security Camera,12900.0,Security Cameras,https://lifestore.lk/product/prolink-ds-3103-dual-band-outdoor-security-camera
GEN-99FAF100,Prolink Ds 3105 3Mp Home Security Camera,8920.0,Security Cameras,https://lifestore.lk/product/prolink-ds-3105-3mp-home-security-camera
GEN-F11FFC16,Siyol Gw1125 Wi Fi Camera,7655.0,Security Cameras,https://lifestore.lk/product/siyol-gw1125-wi-fi-camera
GEN-7BCEBC30,Prolink 3 Port Mobile Phone Charger,5090.0,Mobile Phones & Accessories,https://lifestore.lk/product/prolink-3-port-mobile-phone-charger
GEN-B2918E38,Prolink 20W 2 Port Charger,3990.0,Mobile Phones & Accessories,https://lifestore.lk/product/prolink-20w-2-port-charger
GEN-2EDD3B0B,Peotv Remote Controller Android Stb,2665.0,PEO TV & Accessories,https://lifestore.lk/product/peotv-remote-controller-android-stb
GEN-539DB15C,Peotv Lte Stb Sei300,9990.0,PEO TV & Accessories,https://lifestore.lk/product/peotv-lte-stb-sei300
GEN-FFE6D8C2,Peo Tv Remote Controller,1240.0,PEO TV & Accessories,https://lifestore.lk/product/peo-tv-remote-controller
GEN-C6F8485F,Hand Crank Generator,3830.0,STEM Toys,https://lifestore.lk/product/hand-crank-generator
GEN-B5671E55,Buzzwire Game,4795.0,STEM Toys,https://lifestore.lk/product/buzzwire-game
GEN-A039C305,Automatic Catapult,4795.0,STEM Toys,https://lifestore.lk/product/automatic-catapult
GEN-F936EBD3,Propeller Car,3830.0,STEM Toys,https://lifestore.lk/product/propeller-car
GEN-A1A69F02,Electric Vehicle,4795.0,STEM Toys,https://lifestore.lk/product/electric-vehicle
GEN-B8B14757,254,3830.0,STEM Toys,https://lifestore.lk/product/254
GEN-8CA4379A,Spirograph,4795.0,STEM Toys,https://lifestore.lk/product/spirograph
